,County,N,Party,Race,State,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
55,ETOWAH,64.0,p_republican,USP,AL,2000,0.688886988379818,0.663103256329,0.631355762345,0.708280216095,0.23
56,FAYETTE,28.0,p_democrat,USP,AL,2000,0.09162696451609112,0.063071052404,0.134700882958,0.0949355046336,0.02
57,FAYETTE,28.0,p_republican,USP,AL,2000,0.9466431974345452,0.950292970482,0.961718645672,0.944859571772,0.92
58,FRANKLIN,26.0,p_democrat,USP,AL,2000,,,,,0.0
59,FRANKLIN,26.0,p_republican,USP,AL,2000,0.9154742838572729,0.920057932149,0.906924195524,0.911412526832,0.74
60,GENEVA,31.0,p_democrat,USP,AL,2000,,,,,0.0
61,GENEVA,31.0,p_republican,USP,AL,2000,0.3692303674581001,0.397221151067,0.41125789187,0.353103004442,0.44
62,GREENE,21.0,p_democrat,USP,AL,2000,,,,,0.0
63,GREENE,21.0,p_republican,USP,AL,2000,,,,,0.0
64,HALE,16.0,p_democrat,USP,AL,2000,,,,,0.0
65,HALE,16.0,p_republican,USP,AL,2000,0.9043576204755592,0.871431493613,0.942134573889,0.911412526832,0.79
66,HENRY,20.0,p_democrat,USP,AL,2000,,,,,0.0
67,HENRY,20.0,p_republican,USP,AL,2000,,,,,0.0
68,HOUSTON,38.0,p_democrat,USP,AL,2000,,,,,0.0
69,HOUSTON,38.0,p_republican,USP,AL,2000,0.8111462181499441,0.74944125079,0.792649025188,0.820332612855,0.82
70,JACKSON,42.0,p_democrat,USP,AL,2000,0.3128351513250994,0.285272291165,0.300236491753,0.320534017291,0.36
71,JACKSON,42.0,p_republican,USP,AL,2000,,,,,0.0
72,LAMAR,26.0,p_democrat,USP,AL,2000,,,,,0.0
73,LAMAR,26.0,p_republican,USP,AL,2000,0.7819504103194129,0.764802659825,0.775816750108,0.785073454521,0.37
74,LAUDERDALE,40.0,p_democrat,USP,AL,2000,0.8843653856538906,0.886332037966,0.824883310221,0.875539025298,0.37
75,LAUDERDALE,40.0,p_republican,USP,AL,2000,,,,,0.0
76,LAWRENCE,32.0,p_democrat,USP,AL,2000,0.6035026277425442,0.606988110654,0.624224566813,0.598138067677,0.74
77,LAWRENCE,32.0,p_republican,USP,AL,2000,0.7223258177371379,0.69784333018,0.758803437807,0.727345505977,0.45
78,LEE,24.0,p_democrat,USP,AL,2000,0.8832821928754027,0.87892395033,0.86824610875,0.888136587973,0.78
79,LEE,24.0,p_republican,USP,AL,2000,,,,,0.0
80,LIMESTONE,33.0,p_democrat,USP,AL,2000,0.25205274778500164,0.262554090359,0.216962186747,0.24016347686,0.31
81,LIMESTONE,33.0,p_republican,USP,AL,2000,0.3682807776376409,0.367426018441,0.349413700938,0.373011910112,0.19
82,LOWNDES,14.0,p_democrat,USP,AL,2000,,,,,0.0
83,LOWNDES,14.0,p_republican,USP,AL,2000,,,,,0.0
84,MACON,18.0,p_democrat,USP,AL,2000,,,,,0.0
85,MACON,18.0,p_republican,USP,AL,2000,0.46757535037740394,0.431140734785,0.550712888502,0.468595011824,0.15
86,MADISON,98.0,p_democrat,USP,AL,2000,0.9359023210427152,0.912891709976,0.916294029163,0.944859571772,0.98
87,MADISON,98.0,p_republican,USP,AL,2000,0.22631573505811214,0.192786585237,0.20581428593,0.213309305083,0.41
88,MARENGO,32.0,p_democrat,USP,AL,2000,0.46366069744573946,0.370081924464,0.376782929832,0.472584466104,0.36
89,MARENGO,32.0,p_republican,USP,AL,2000,0.20508961133540318,0.299033533555,0.157535074498,0.192984495041,0.09
90,MARION,22.0,p_democrat,USP,AL,2000,0.5443464100839953,0.568256982756,0.542148588367,0.53414621691,0.33
91,MARION,22.0,p_republican,USP,AL,2000,,,,,0.0
92,MARSHALL,50.0,p_democrat,USP,AL,2000,0.9775838448825197,0.985381132045,0.958256754583,0.971699157103,0.89
93,MARSHALL,50.0,p_republican,USP,AL,2000,0.6768144432264878,0.69460635534,0.669753767942,0.657933306214,0.28
94,MOBILE,99.0,p_democrat,USP,AL,2000,0.04047893111468041,0.040639989887,0.0579660443719,0.0392437564865,0.23
95,MOBILE,99.0,p_republican,USP,AL,2000,0.33729659827916103,0.282872361998,0.288493317308,0.335172969913,0.04
96,MONROE,33.0,p_democrat,USP,AL,2000,0.9371502388015933,0.884657103999,0.961732575207,0.931951753246,0.71
97,MONROE,33.0,p_republican,USP,AL,2000,0.5888628372654279,0.360940726298,0.604537600093,0.605601691698,0.2
98,MONTGOMERY,58.0,p_democrat,USP,AL,2000,0.9265380402623407,0.920070818416,0.919913661936,0.928613357857,0.94
99,MONTGOMERY,58.0,p_republican,USP,AL,2000,0.3771394979801133,0.40261771555,0.31159226101,0.356097197562,0.16
100,MORGAN,60.0,p_democrat,USP,AL,2000,0.04352542073380452,0.0359104533766,0.0358481875103,0.043744807302,0.23
101,MORGAN,60.0,p_republican,USP,AL,2000,0.67168365985652,0.669427876286,0.622897370919,0.671779022895,0.54
102,PERRY,18.0,p_democrat,USP,AL,2000,,,,,0.0
103,PERRY,18.0,p_republican,USP,AL,2000,,,,,0.0
104,PICKENS,28.0,p_democrat,USP,AL,2000,0.44349190648727566,0.321903691333,0.622127872277,0.424193185898,0.17
105,PICKENS,28.0,p_republican,USP,AL,2000,0.8332380993381873,0.732230471183,0.891232564446,0.846579369691,0.59
106,PIKE,29.0,p_democrat,USP,AL,2000,0.7595894797408934,0.76374573889,0.807010663743,0.757042522572,0.81
107,PIKE,29.0,p_republican,USP,AL,2000,,,,,0.0
108,RANDOLPH,48.0,p_democrat,USP,AL,2000,0.031102404195848036,0.0177537778488,0.0214824783528,0.0323814164441,0.0
109,RANDOLPH,48.0,p_republican,USP,AL,2000,0.47235777736625506,0.501184285159,0.497211796608,0.468595011824,0.47
110,RUSSELL,19.0,p_democrat,USP,AL,2000,,,,,0.0
111,RUSSELL,19.0,p_republican,USP,AL,2000,,,,,0.0
112,SHELBY,65.0,p_democrat,USP,AL,2000,0.13788854740620526,0.143621905555,0.131864403327,0.125087961963,0.05
113,SHELBY,65.0,p_republican,USP,AL,2000,0.5015695313274452,0.526410434361,0.484905892722,0.495898382568,0.5
114,ST CLAIR,35.0,p_democrat,USP,AL,2000,0.282002979957865,0.292774894459,0.22952280901,0.275708936772,0.3
115,ST CLAIR,35.0,p_republican,USP,AL,2000,0.5751215971027752,0.573176927491,0.5637784216,0.577843933466,0.47
116,SUMTER,7.0,p_democrat,USP,AL,2000,,,,,0.0
117,SUMTER,7.0,p_republican,USP,AL,2000,,,,,0.0
118,TALLADEGA,37.0,p_democrat,USP,AL,2000,0.7472811279154812,0.649473522885,0.757155824946,0.742620201889,0.54
119,TALLADEGA,37.0,p_republican,USP,AL,2000,0.8129746068198795,0.909208513268,0.762870813059,0.795101550462,0.43
120,TALLAPOOSA,30.0,p_democrat,USP,AL,2000,,,,,0.0
121,TALLAPOOSA,30.0,p_republican,USP,AL,2000,,,,,0.0
122,TUSCALOOSA,53.0,p_democrat,USP,AL,2000,0.6299000776837567,0.651805349386,0.615215141462,0.617482378939,0.38
123,TUSCALOOSA,53.0,p_republican,USP,AL,2000,0.04096225068421956,0.0392566822347,0.0464721442591,0.0431242593091,0.01
124,WASHINGTON,32.0,p_democrat,USP,AL,2000,,,,,0.0
125,WASHINGTON,32.0,p_republican,USP,AL,2000,0.4801423042906804,0.507194484435,0.467767930393,0.472584466104,0.44
126,WINSTON,23.0,p_democrat,USP,AL,2000,,,,,0.0
127,WINSTON,23.0,p_republican,USP,AL,2000,,,,,0.0
128,Arkansas County,20.0,p_democrat,USP,AR,2000,,,,,0.0
129,Arkansas County,20.0,p_republican,USP,AR,2000,,,,,0.0
130,Ashley County,25.0,p_democrat,USP,AR,2000,,,,,0.0
131,Ashley County,25.0,p_republican,USP,AR,2000,,,,,0.0
132,Baxter County,40.0,p_democrat,USP,AR,2000,0.5451567332409804,0.588707088061,0.51709841397,0.53414621691,0.34
133,Baxter County,40.0,p_republican,USP,AR,2000,0.41939643167287743,0.345408928265,0.483963269245,0.437274188914,0.38
134,Benton County,72.0,p_democrat,USP,AR,2000,0.2028227668677338,0.227940220625,0.148824209533,0.189397004976,0.16
135,Benton County,72.0,p_republican,USP,AR,2000,0.9860398312194558,0.983747365669,0.983451457022,0.988549309534,0.99
136,Boone County,22.0,p_democrat,USP,AR,2000,0.8185156272996462,0.827133540701,0.850021458253,0.809915380538,0.76
137,Boone County,22.0,p_republican,USP,AR,2000,,,,,0.0
138,Bradley County,16.0,p_democrat,USP,AR,2000,,,,,0.0
139,Bradley County,16.0,p_republican,USP,AR,2000,,,,,0.0
140,Calhoun County,13.0,p_democrat,USP,AR,2000,,,,,0.0
141,Calhoun County,13.0,p_republican,USP,AR,2000,,,,,0.0
142,Carroll County,33.0,p_democrat,USP,AR,2000,0.36322603348025617,0.298720997177,0.463484791537,0.373011910112,0.32
143,Carroll County,33.0,p_republican,USP,AR,2000,0.6621729047142821,0.633297195986,0.483395763035,0.668635631647,0.33
144,Chicot County,13.0,p_democrat,USP,AR,2000,,,,,0.0
145,Chicot County,13.0,p_republican,USP,AR,2000,,,,,0.0
146,Clark County,35.0,p_democrat,USP,AR,2000,0.36477320352239645,0.359914279737,0.300976325965,0.362173729793,0.64
147,Clark County,35.0,p_republican,USP,AR,2000,,,,,0.0
148,Clay County,19.0,p_democrat,USP,AR,2000,,,,,0.0
149,Clay County,19.0,p_republican,USP,AR,2000,,,,,0.0
150,Cleburne County,32.0,p_democrat,USP,AR,2000,,,,,0.0
151,Cleburne County,32.0,p_republican,USP,AR,2000,,,,,0.0
152,Cleveland County,20.0,p_democrat,USP,AR,2000,0.9145083227064825,0.936114553142,0.930545490606,0.911412526832,0.77
153,Cleveland County,20.0,p_republican,USP,AR,2000,,,,,0.0
154,Columbia County,23.0,p_democrat,USP,AR,2000,0.45003268493067616,0.404953852379,0.403345504435,0.461694973326,0.27
155,Columbia County,23.0,p_republican,USP,AR,2000,0.9720958281952904,0.954008170079,0.974129338482,0.97650705575,0.81
156,Conway County,32.0,p_democrat,USP,AR,2000,0.5967878367604473,0.550954351115,0.63782103985,0.598138067677,0.85
157,Conway County,32.0,p_republican,USP,AR,2000,0.7017465322720879,0.513952617842,0.766748845361,0.727345505977,0.77
158,Craighead County,26.0,p_democrat,USP,AR,2000,,,,,0.0
159,Craighead County,26.0,p_republican,USP,AR,2000,,,,,0.0
160,Crawford County,40.0,p_democrat,USP,AR,2000,0.8373680900954855,0.862221336333,0.884523964003,0.834308260193,0.89
161,Crawford County,40.0,p_republican,USP,AR,2000,0.7728858653290555,0.731673343381,0.836007057501,0.788728005521,0.7
162,Crittenden County,40.0,p_democrat,USP,AR,2000,0.9820468267309832,0.983182943045,0.97219620247,0.980883491403,1.0
163,Crittenden County,40.0,p_republican,USP,AR,2000,,,,,0.0
164,Cross County,19.0,p_democrat,USP,AR,2000,,,,,0.0
165,Cross County,19.0,p_republican,USP,AR,2000,,,,,0.0
166,Dallas County,19.0,p_democrat,USP,AR,2000,,,,,0.0
167,Dallas County,19.0,p_republican,USP,AR,2000,,,,,0.0
168,Desha County,22.0,p_democrat,USP,AR,2000,,,,,0.0
169,Desha County,22.0,p_republican,USP,AR,2000,0.9806336671291587,0.972601222475,0.986603003977,0.979635964969,0.92
170,Drew County,20.0,p_democrat,USP,AR,2000,,,,,0.0
171,Drew County,20.0,p_republican,USP,AR,2000,,,,,0.0
172,Faulkner County,42.0,p_democrat,USP,AR,2000,0.19960178711547152,0.197198931512,0.209199300605,0.197677142461,0.52
173,Faulkner County,42.0,p_republican,USP,AR,2000,0.8994276275407576,0.897484449908,0.927550953166,0.898434327663,0.85
174,Franklin County,37.0,p_democrat,USP,AR,2000,,,,,0.0
175,Franklin County,37.0,p_republican,USP,AR,2000,0.40452372475773224,0.307235550557,0.417734309912,0.417559826421,0.2
176,Fulton County,19.0,p_democrat,USP,AR,2000,0.4335297060117173,0.301940533967,0.470442121543,0.44704719175,0.15
177,Fulton County,19.0,p_republican,USP,AR,2000,0.8758186802806424,0.937876604318,0.862538432533,0.860922170167,0.65
178,Garland County,36.0,p_democrat,USP,AR,2000,0.48252241255835016,0.480585633141,0.494852982788,0.490049906038,0.39
179,Garland County,36.0,p_republican,USP,AR,2000,,,,,0.0
180,Grant County,21.0,p_democrat,USP,AR,2000,,,,,0.0
181,Grant County,21.0,p_republican,USP,AR,2000,,,,,0.0
182,Greene County,23.0,p_democrat,USP,AR,2000,0.8921689378242539,0.903108668088,0.887337871609,0.883824660399,0.71
183,Greene County,23.0,p_republican,USP,AR,2000,0.7250944578376058,0.680488243717,0.792670375573,0.726796178253,0.42
184,Hempstead County,31.0,p_democrat,USP,AR,2000,0.5356722123989737,0.590777891046,0.552982322461,0.530898678713,0.6
185,Hempstead County,31.0,p_republican,USP,AR,2000,,,,,0.0
186,Hot Spring County,34.0,p_democrat,USP,AR,2000,0.18334844828034935,0.160668187941,0.153047881716,0.188060457258,0.29
187,Hot Spring County,34.0,p_republican,USP,AR,2000,0.307068677508137,0.381396060059,0.341192113259,0.296409134052,0.07
188,Howard County,21.0,p_democrat,USP,AR,2000,,,,,0.0
189,Howard County,21.0,p_republican,USP,AR,2000,,,,,0.0
190,Independence County,31.0,p_democrat,USP,AR,2000,,,,,0.0
191,Independence County,31.0,p_republican,USP,AR,2000,0.4160488004315886,0.450494040716,0.358260179252,0.408045719267,0.16
192,Izard County,38.0,p_democrat,USP,AR,2000,0.5598284342484611,0.550925604237,0.605297381169,0.555493675139,0.52
193,Izard County,38.0,p_republican,USP,AR,2000,0.9777979135318094,0.938841654704,0.970625978817,0.980167374176,0.94
194,Jackson County,42.0,p_democrat,USP,AR,2000,0.18380140286699057,0.171994203108,0.172309704719,0.173679074295,0.01
195,Jackson County,42.0,p_republican,USP,AR,2000,0.9103304150918494,0.98261693247,0.871440550442,0.898434327663,0.87
196,Jefferson County,54.0,p_democrat,USP,AR,2000,0.04853541558509528,0.0792764214467,0.218434234414,0.0416886954598,0.53
197,Jefferson County,54.0,p_republican,USP,AR,2000,0.15994490414215023,0.0456938535405,0.152572069064,0.160937525108,0.4
198,Johnson County,23.0,p_democrat,USP,AR,2000,0.47868324670388673,0.640578603628,0.363847444675,0.461694973326,0.09
199,Johnson County,23.0,p_republican,USP,AR,2000,,,,,0.0
200,Lafayette County,23.0,p_democrat,USP,AR,2000,0.9337011127939883,0.874364627235,0.932411477654,0.939986863633,0.83
201,Lafayette County,23.0,p_republican,USP,AR,2000,,,,,0.0
202,Lawrence County,24.0,p_democrat,USP,AR,2000,,,,,0.0
203,Lawrence County,24.0,p_republican,USP,AR,2000,0.24420467121017927,0.377728201885,0.271439260472,0.222869109337,0.18
204,Lee County,15.0,p_democrat,USP,AR,2000,,,,,0.0
205,Lee County,15.0,p_republican,USP,AR,2000,,,,,0.0
206,Lincoln County,27.0,p_democrat,USP,AR,2000,,,,,0.0
207,Lincoln County,27.0,p_republican,USP,AR,2000,,,,,0.0
208,Little River County,28.0,p_democrat,USP,AR,2000,0.2595777944983133,0.263674572693,0.304399405941,0.256631966448,0.08
209,Little River County,28.0,p_republican,USP,AR,2000,,,,,0.0
210,Logan County,32.0,p_democrat,USP,AR,2000,,,,,0.0
211,Logan County,32.0,p_republican,USP,AR,2000,,,,,0.0
212,Lonoke County,35.0,p_democrat,USP,AR,2000,0.9396086642291547,0.942488676422,0.913187392025,0.937294163754,0.92
213,Lonoke County,35.0,p_republican,USP,AR,2000,,,,,0.0
214,Madison County,28.0,p_democrat,USP,AR,2000,0.9715517300332605,0.905922601691,0.971081696,0.974554728025,0.95
215,Madison County,28.0,p_republican,USP,AR,2000,0.7815329850561208,0.742375587483,0.778949019013,0.781926163335,0.82
216,Marion County,18.0,p_democrat,USP,AR,2000,0.5899144879713487,0.625787345552,0.679278141445,0.579478929696,0.35
217,Marion County,18.0,p_republican,USP,AR,2000,,,,,0.0
218,Miller County,31.0,p_democrat,USP,AR,2000,0.3149677406403235,0.330617965361,0.298033444715,0.30317793773,0.2
219,Miller County,31.0,p_republican,USP,AR,2000,0.6491622190707496,0.530397646983,0.610733145516,0.663967337821,0.54
220,Mississippi County,54.0,p_democrat,USP,AR,2000,0.2116963226038819,0.209851277609,0.177530570271,0.217517541155,0.57
221,Mississippi County,54.0,p_republican,USP,AR,2000,0.24661638063004657,0.0540582784814,0.315770473145,0.263228772154,0.38
222,Monroe County,20.0,p_democrat,USP,AR,2000,0.6349900829672164,0.547733679043,0.620809252341,0.637119407169,0.69
223,Monroe County,20.0,p_republican,USP,AR,2000,,,,,0.0
224,Montgomery County,18.0,p_democrat,USP,AR,2000,,,,,0.0
225,Montgomery County,18.0,p_republican,USP,AR,2000,0.9572603241178554,0.94444705127,0.948504527046,0.959726218736,0.74
226,Nevada County,22.0,p_democrat,USP,AR,2000,0.7063857902119024,0.570163523223,0.784281100362,0.721592266791,0.74
227,Nevada County,22.0,p_republican,USP,AR,2000,,,,,0.0
228,Newton County,23.0,p_democrat,USP,AR,2000,,,,,0.0
229,Newton County,23.0,p_republican,USP,AR,2000,,,,,0.0
230,Ouachita County,24.0,p_democrat,USP,AR,2000,0.6406553837645146,0.581913049294,0.641144548865,0.654466896893,0.61
231,Ouachita County,24.0,p_republican,USP,AR,2000,0.5706059810356815,0.459106593619,0.690844884944,0.568055367295,0.53
232,Perry County,20.0,p_democrat,USP,AR,2000,,,,,0.0
233,Perry County,20.0,p_republican,USP,AR,2000,0.9148108817540846,0.926155501922,0.95202329761,0.911412526832,0.83
234,Phillips County,65.0,p_democrat,USP,AR,2000,,,,,0.0
235,Phillips County,65.0,p_republican,USP,AR,2000,0.005699438015901143,1.60670363347e-06,0.0501408231674,0.00418133937984,0.04
236,Pike County,16.0,p_democrat,USP,AR,2000,,,,,0.0
237,Pike County,16.0,p_republican,USP,AR,2000,,,,,0.0
238,Poinsett County,19.0,p_democrat,USP,AR,2000,,,,,0.0
239,Poinsett County,19.0,p_republican,USP,AR,2000,,,,,0.0
240,Polk County,21.0,p_democrat,USP,AR,2000,,,,,0.0
241,Polk County,21.0,p_republican,USP,AR,2000,0.6450161603457654,0.615835431567,0.655961284931,0.627204301557,0.25
242,Pope County,65.0,p_democrat,USP,AR,2000,0.8474032545263159,0.67783121973,0.831774038233,0.860263676226,0.89
243,Pope County,65.0,p_republican,USP,AR,2000,0.5990655327381129,0.603863133637,0.448195595489,0.589181867365,0.34
244,Prairie County,23.0,p_democrat,USP,AR,2000,,,,,0.0
245,Prairie County,23.0,p_republican,USP,AR,2000,,,,,0.0
246,Pulaski County,130.0,p_democrat,USP,AR,2000,0.08921586960252088,0.0890152007889,0.129122618825,0.0847890717289,0.12
247,Pulaski County,130.0,p_republican,USP,AR,2000,0.11691985471404118,0.0981356782094,0.125255574656,0.127904039563,0.59
248,Randolph County,26.0,p_democrat,USP,AR,2000,0.995149707042745,0.988574608544,0.995324462377,0.995452917949,0.96
249,Randolph County,26.0,p_republican,USP,AR,2000,0.5442033160902129,0.47512858153,0.524509789893,0.549721618134,0.27
250,Saline County,56.0,p_democrat,USP,AR,2000,0.3692461216463254,0.416959772246,0.331105376335,0.344733687793,0.63
251,Saline County,56.0,p_republican,USP,AR,2000,0.6742296859831292,0.69642991259,0.652745075822,0.651990010425,0.75
252,Scott County,28.0,p_democrat,USP,AR,2000,0.430660667950472,0.394622590798,0.403585613196,0.424193185898,0.48
253,Scott County,28.0,p_republican,USP,AR,2000,,,,,0.0
254,Searcy County,18.0,p_democrat,USP,AR,2000,,,,,0.0
255,Searcy County,18.0,p_republican,USP,AR,2000,,,,,0.0
256,Sebastian County,85.0,p_democrat,USP,AR,2000,0.18538412945912908,0.129997611002,0.239114404088,0.197231615811,0.17
257,Sebastian County,85.0,p_republican,USP,AR,2000,0.24283761482517358,0.345306606036,0.34525343575,0.223441713403,0.25
258,Sevier County,18.0,p_democrat,USP,AR,2000,0.7886776975291983,0.67201652503,0.8174132865,0.804336767549,0.57
259,Sevier County,18.0,p_republican,USP,AR,2000,,,,,0.0
260,Sharp County,27.0,p_democrat,USP,AR,2000,,,,,0.0
261,Sharp County,27.0,p_republican,USP,AR,2000,,,,,0.0
262,St. Francis County,20.0,p_democrat,USP,AR,2000,,,,,0.0
263,St. Francis County,20.0,p_republican,USP,AR,2000,,,,,0.0
264,Stone County,31.0,p_democrat,USP,AR,2000,,,,,0.0
265,Stone County,31.0,p_republican,USP,AR,2000,0.7897259698730024,0.755995380805,0.890406424737,0.793298448091,0.89
266,Union County,54.0,p_democrat,USP,AR,2000,0.07513328210651228,0.0648531254967,0.0927900201776,0.0750304317487,0.31
267,Union County,54.0,p_republican,USP,AR,2000,0.5214284780458607,0.488637532516,0.548502599179,0.51191615198,0.85
268,Van Buren County,23.0,p_democrat,USP,AR,2000,0.8949508457931798,0.929688118173,0.883310674957,0.883824660399,0.74
269,Van Buren County,23.0,p_republican,USP,AR,2000,,,,,0.0
270,Washington County,122.0,p_democrat,USP,AR,2000,0.7169123754731881,0.791864559398,0.814828089974,0.686481418306,0.73
271,Washington County,122.0,p_republican,USP,AR,2000,0.7083737668615488,0.617297034616,0.804231081394,0.703349765861,0.84
272,White County,87.0,p_democrat,USP,AR,2000,0.677511257246483,0.80224499058,0.682995641178,0.64669266929,0.92
273,White County,87.0,p_republican,USP,AR,2000,0.3881966735772807,0.332693682856,0.358063678464,0.397970109754,0.79
274,Woodruff County,16.0,p_democrat,USP,AR,2000,,,,,0.0
275,Woodruff County,16.0,p_republican,USP,AR,2000,,,,,0.0
276,Yell County,36.0,p_democrat,USP,AR,2000,0.6978937543718562,0.537295588172,0.749054042011,0.717487792493,0.41
277,Yell County,36.0,p_republican,USP,AR,2000,0.6603359231480386,0.57103577724,0.657167403811,0.66024331982,0.58
278,Acadia,64.0,p_democrat,USP,LA,2000,0.09520294266348914,0.0979840262958,0.0937244968451,0.0980359435078,0.3
279,Acadia,64.0,p_republican,USP,LA,2000,0.0008480820426719943,0.000457523223038,0.000398505212288,0.00112831962097,0.0
280,Allen,34.0,p_democrat,USP,LA,2000,0.7242480808738944,0.621139975089,0.766329452565,0.739918292095,0.37
281,Allen,34.0,p_republican,USP,LA,2000,0.7470708034000639,0.773400137958,0.712944116113,0.739918292095,0.57
282,Ascension,44.0,p_democrat,USP,LA,2000,,,,,0.0
